generation	indiv.index	Mutcount	fitness	zogosity	s	h
100000	176	8	0.970477	het	-0.00196631	0.0853275
100000	176	8	0.970477	het	-0.517049	0.0123367
100000	176	8	0.970477	het	-0.000467448	0.139968
100000	176	8	0.970477	het	-0.286905	0.0392167
100000	176	8	0.970477	het	-0.205523	0.0546577
100000	176	8	0.970477	het	-0.000686853	0.185255
100000	176	8	0.970477	het	-0.0990154	0.00236927
100000	54	2	0.994748	het	-0.123411	0.0396501
100000	3349	4	0.951968	het	-0.412727	0.0166773
100000	3349	4	0.951968	het	-0.777906	0.0518685
100000	3349	4	0.951968	het	-0.171047	0.0045025
100000	3459	10	0.959893	het	-0.00196631	0.0853275
100000	3459	10	0.959893	het	-0.0994356	0.0822397
100000	3459	10	0.959893	het	-0.0757877	0.0484461
100000	3459	10	0.959893	het	-0.560535	0.0339799
100000	3459	10	0.959893	het	-0.544662	0.0145382
100000	3459	10	0.959893	het	-0.0154002	0.0357147
100000	3459	10	0.959893	het	-0.00421	0.00205291
100000	3459	10	0.959893	het	-0.00296958	0.0443619
100000	3459	10	0.959893	het	-0.0068731	0.0937361
100000	2678	6	0.937038	het	-0.438101	0.0608295
100000	2678	6	0.937038	het	-0.0739471	0.127851
100000	2678	6	0.937038	het	-0.164404	0.00388267
100000	2678	6	0.937038	het	-0.0019182	0.0721201
100000	2678	6	0.937038	het	-0.943577	0.0286267
100000	2270	5	0.914784	het	-0.477506	0.108432
100000	2270	5	0.914784	het	-0.0153099	0.301685
100000	2270	5	0.914784	het	-0.116072	0.249982
100000	2270	5	0.914784	het	-0.6409	0.00228641
100000	790	7	0.982987	het	-0.011297	0.152787
100000	790	7	0.982987	het	-0.761908	0.00381962
100000	790	7	0.982987	het	-0.000467448	0.139968
100000	790	7	0.982987	het	-0.286905	0.0392167
100000	790	7	0.982987	het	-0.00296958	0.0443619
100000	790	7	0.982987	het	-0.0068731	0.0937361
100000	2457	9	0.925875	het	-0.0749605	0.0131244
100000	2457	9	0.925875	het	-0.120549	0.299344
100000	2457	9	0.925875	het	-0.0215426	0.470003
100000	2457	9	0.925875	het	-0.954154	0.0285697
100000	2457	9	0.925875	het	-0.000467448	0.139968
100000	2457	9	0.925875	het	-0.00309095	0.124517
100000	2457	9	0.925875	het	-0.00421	0.00205291
100000	2457	9	0.925875	het	-0.0068731	0.0937361
100000	3153	2	0.997372	het	-0.0203172	0.111626
100000	1778	9	0.871576	het	-0.115436	0.0914212
100000	1778	9	0.871576	het	-0.00309095	0.124517
100000	1778	9	0.871576	het	-0.0681129	0.060824
100000	1778	9	0.871576	het	-0.00524681	0.385126
100000	1778	9	0.871576	het	-0.423945	0.0784212
100000	1778	9	0.871576	het	-0.037454	0.157392
100000	1778	9	0.871576	het	-0.3034	0.25259
100000	1715	13	0.786543	het	-0.00196631	0.0853275
100000	1715	13	0.786543	het	-0.431586	0.263775
100000	1715	13	0.786543	het	-0.191518	0.0465642
100000	1715	13	0.786543	het	-0.000467448	0.139968
100000	1715	13	0.786543	het	-0.0394572	0.435163
100000	1715	13	0.786543	het	-0.0170758	0.293584
100000	1715	13	0.786543	het	-0.0681129	0.060824
100000	1715	13	0.786543	het	-0.0187311	0.361024
100000	1715	13	0.786543	het	-0.00634122	0.107808
100000	1715	13	0.786543	het	-0.0372437	0.0925264
100000	1715	13	0.786543	het	-0.00296958	0.0443619
100000	1715	13	0.786543	het	-0.810231	0.0859077
100000	1441	4	0.964692	het	-0.195042	0.113538
100000	1441	4	0.964692	het	-0.0068731	0.0937361
100000	1441	4	0.964692	het	-0.0341238	0.365408
100000	722	8	0.942616	het	-0.204731	0.0961414
100000	722	8	0.942616	het	-0.0101963	0.0383854
100000	722	8	0.942616	het	-0.582304	0.0621766
100000	722	8	0.942616	het	-0.00304692	0.261944
100000	722	8	0.942616	het	-0.00334505	0.0565827
100000	722	8	0.942616	het	-0.00296958	0.0443619
100000	3306	9	0.850308	het	-0.397108	0.0566598
100000	3306	9	0.850308	het	-0.0749605	0.0131244
100000	3306	9	0.850308	het	-0.120549	0.299344
100000	3306	9	0.850308	het	-0.954154	0.0285697
100000	3306	9	0.850308	het	-0.576963	0.103757
100000	3306	9	0.850308	het	-0.0438997	0.212925
100000	3306	9	0.850308	het	-0.211392	0.0113873
100000	3306	9	0.850308	het	-0.00296958	0.0443619
100000	3531	7	0.984546	het	-0.155524	0.0371849
